iter	Passed	Remaining
958	25600	1094
959	25618	1067
960	25647	1040
961	25676	1014
962	25702	987
963	25723	960
964	25741	933
965	25767	906
966	25789	880
967	25815	853
968	25846	826
969	25874	800
970	25896	773
971	25912	746
972	25928	719
973	25949	692
974	25971	665
975	25995	639
976	26011	612
977	26027	585
978	26044	558
979	26065	531
980	26094	505
981	26119	478
982	26144	452
983	26165	425
984	26192	398
985	26215	372
986	26238	345
987	26261	318
988	26292	292
989	26311	265
990	26338	239
991	26359	212
992	26383	185
993	26411	159
994	26438	132
995	26463	106
996	26485	79
997	26509	53
998	26532	26
999	26558	0
